alpha_threshold,noise,seed,delta_snr_db
1.5,N1,0,12.580714431203518
1.5,N1,1,12.766881697796668
1.5,N1,2,13.88867448406905
1.5,N1,3,13.428053593011512
1.5,N1,4,12.671752413467642
1.5,N1,5,12.881240010709641
1.5,N1,6,11.915992954109107
1.5,N1,7,13.791976014316138
1.5,N1,8,12.785835272452113
1.5,N1,9,13.034427048641007
1.5,N2,0,7.515004931627167
1.5,N2,1,7.001687828212039
1.5,N2,2,7.302829015926639
1.5,N2,3,7.638105256180637
1.5,N2,4,7.475866702694388
1.5,N2,5,7.405700974560447
1.5,N2,6,6.602412937875297
1.5,N2,7,8.067969801240256
1.5,N2,8,7.010046475253748
1.5,N2,9,8.64760447907932
1.5,N3,0,16.5690132840936
1.5,N3,1,17.21201864176544
1.5,N3,2,17.045657252850727
1.5,N3,3,17.703348929497427
1.5,N3,4,17.21254110340231
1.5,N3,5,18.303445183456112
1.5,N3,6,17.026691413732323
1.5,N3,7,17.696206086392667
1.5,N3,8,17.208952546817905
1.5,N3,9,16.991843533806996
1.5,N4,0,10.130933321967023
1.5,N4,1,9.667789536261889
1.5,N4,2,9.97282263972033
1.5,N4,3,9.609291883023927
1.5,N4,4,9.97270531225438
1.5,N4,5,10.451102688619763
1.5,N4,6,9.785316470569546
1.5,N4,7,9.749676189380768
1.5,N4,8,9.891109525355443
1.5,N4,9,10.288079260493546
1.5,N5,0,16.592391120971516
1.5,N5,1,17.646493150351617
1.5,N5,2,17.119035643953513
1.5,N5,3,17.985318267498357
1.5,N5,4,15.32122970575626
1.5,N5,5,16.638171789982778
1.5,N5,6,16.056202963038928
1.5,N5,7,17.492647872931702
1.5,N5,8,15.154527166328597
1.5,N5,9,17.18137639072947
1.5,N6,0,12.94005409415307
1.5,N6,1,13.534107881243347
1.5,N6,2,15.129730074444149
1.5,N6,3,13.091512785461466
1.5,N6,4,12.671619674291478
1.5,N6,5,13.125829467773817
1.5,N6,6,13.194502960900879
1.5,N6,7,14.416756109264234
1.5,N6,8,12.95479219798675
1.5,N6,9,13.160326407602511
1.7,N1,0,12.580714431203518
1.7,N1,1,12.766881697796668
1.7,N1,2,13.88867448406905
1.7,N1,3,13.428053593011512
1.7,N1,4,12.671752413467642
1.7,N1,5,12.881240010709641
1.7,N1,6,11.915992954109107
1.7,N1,7,13.791976014316138
1.7,N1,8,12.785835272452113
1.7,N1,9,13.034427048641007
1.7,N2,0,7.515004931627167
1.7,N2,1,7.001687828212039
1.7,N2,2,7.302829015926639
1.7,N2,3,7.638105256180637
1.7,N2,4,7.475866702694388
1.7,N2,5,7.405700974560447
1.7,N2,6,6.602412937875297
1.7,N2,7,8.067969801240256
1.7,N2,8,7.010046475253748
1.7,N2,9,8.64760447907932
1.7,N3,0,18.006147194061878
1.7,N3,1,18.829084038935896
1.7,N3,2,17.045657252850727
1.7,N3,3,17.703348929497427
1.7,N3,4,17.21254110340231
1.7,N3,5,18.303445183456112
1.7,N3,6,17.026691413732323
1.7,N3,7,18.06926640413023
1.7,N3,8,17.208952546817905
1.7,N3,9,16.991843533806996
1.7,N4,0,8.669253034640885
1.7,N4,1,9.667789536261889
1.7,N4,2,9.97282263972033
1.7,N4,3,9.609291883023927
1.7,N4,4,8.893568600084262
1.7,N4,5,9.07948138695782
1.7,N4,6,8.034721832877763
1.7,N4,7,8.758111167612327
1.7,N4,8,9.07529015205747
1.7,N4,9,10.288079260493546
1.7,N5,0,15.3527647469389
1.7,N5,1,18.82373980134447
1.7,N5,2,21.165060868335512
1.7,N5,3,23.232528774889065
1.7,N5,4,15.513980605404287
1.7,N5,5,16.638171789982778
1.7,N5,6,16.18545413287817
1.7,N5,7,27.854818782270197
1.7,N5,8,15.154527166328597
1.7,N5,9,17.04331294657688
1.7,N6,0,12.94005409415307
1.7,N6,1,13.534107881243347
1.7,N6,2,15.129730074444149
1.7,N6,3,13.091512785461466
1.7,N6,4,12.671619674291478
1.7,N6,5,13.125829467773817
1.7,N6,6,13.194502960900879
1.7,N6,7,14.416756109264234
1.7,N6,8,12.95479219798675
1.7,N6,9,13.160326407602511
1.85,N1,0,12.580714431203518
1.85,N1,1,12.766881697796668
1.85,N1,2,13.88867448406905
1.85,N1,3,13.428053593011512
1.85,N1,4,12.671752413467642
1.85,N1,5,12.881240010709641
1.85,N1,6,11.915992954109107
1.85,N1,7,13.791976014316138
1.85,N1,8,12.785835272452113
1.85,N1,9,13.034427048641007
1.85,N2,0,7.515004931627167
1.85,N2,1,7.001687828212039
1.85,N2,2,7.302829015926639
1.85,N2,3,7.638105256180637
1.85,N2,4,7.475866702694388
1.85,N2,5,7.405700974560447
1.85,N2,6,6.602412937875297
1.85,N2,7,8.067969801240256
1.85,N2,8,7.010046475253748
1.85,N2,9,8.64760447907932
1.85,N3,0,18.006147194061878
1.85,N3,1,18.829084038935896
1.85,N3,2,16.72139313645326
1.85,N3,3,19.67091415231185
1.85,N3,4,17.318639903189634
1.85,N3,5,39.797700331613925
1.85,N3,6,20.352165884963185
1.85,N3,7,18.06926640413023
1.85,N3,8,19.975665981871394
1.85,N3,9,16.447058464269656
1.85,N4,0,8.669253034640885
1.85,N4,1,8.628066339985251
1.85,N4,2,9.10705809643077
1.85,N4,3,9.001543335508995
1.85,N4,4,8.893568600084262
1.85,N4,5,9.07948138695782
1.85,N4,6,8.034721832877763
1.85,N4,7,8.758111167612327
1.85,N4,8,9.07529015205747
1.85,N4,9,8.821934515473444
1.85,N5,0,15.3527647469389
1.85,N5,1,18.82373980134447
1.85,N5,2,21.165060868335512
1.85,N5,3,23.232528774889065
1.85,N5,4,15.513980605404287
1.85,N5,5,17.199057785649167
1.85,N5,6,16.18545413287817
1.85,N5,7,27.854818782270197
1.85,N5,8,13.334263134899738
1.85,N5,9,17.04331294657688
1.85,N6,0,12.94005409415307
1.85,N6,1,15.955325202621298
1.85,N6,2,16.171059869084697
1.85,N6,3,14.575047282579952
1.85,N6,4,12.671619674291478
1.85,N6,5,13.125829467773817
1.85,N6,6,15.754283760720764
1.85,N6,7,14.416756109264234
1.85,N6,8,12.95479219798675
1.85,N6,9,15.182078435263875
1.9,N1,0,12.580714431203518
1.9,N1,1,12.766881697796668
1.9,N1,2,11.643899607431077
1.9,N1,3,13.428053593011512
1.9,N1,4,12.671752413467642
1.9,N1,5,12.881240010709641
1.9,N1,6,11.222617650866189
1.9,N1,7,13.791976014316138
1.9,N1,8,12.785835272452113
1.9,N1,9,13.034427048641007
1.9,N2,0,7.515004931627167
1.9,N2,1,7.001687828212039
1.9,N2,2,7.302829015926639
1.9,N2,3,5.806309953145491
1.9,N2,4,7.475866702694388
1.9,N2,5,7.405700974560447
1.9,N2,6,6.602412937875297
1.9,N2,7,8.067969801240256
1.9,N2,8,7.010046475253748
1.9,N2,9,8.64760447907932
1.9,N3,0,18.006147194061878
1.9,N3,1,18.829084038935896
1.9,N3,2,16.72139313645326
1.9,N3,3,19.67091415231185
1.9,N3,4,17.318639903189634
1.9,N3,5,39.797700331613925
1.9,N3,6,20.352165884963185
1.9,N3,7,18.06926640413023
1.9,N3,8,19.975665981871394
1.9,N3,9,16.447058464269656
1.9,N4,0,8.669253034640885
1.9,N4,1,8.628066339985251
1.9,N4,2,9.10705809643077
1.9,N4,3,9.001543335508995
1.9,N4,4,8.893568600084262
1.9,N4,5,9.07948138695782
1.9,N4,6,8.034721832877763
1.9,N4,7,8.758111167612327
1.9,N4,8,9.07529015205747
1.9,N4,9,8.821934515473444
1.9,N5,0,15.3527647469389
1.9,N5,1,18.82373980134447
1.9,N5,2,21.165060868335512
1.9,N5,3,23.232528774889065
1.9,N5,4,15.513980605404287
1.9,N5,5,17.199057785649167
1.9,N5,6,16.18545413287817
1.9,N5,7,27.854818782270197
1.9,N5,8,13.334263134899738
1.9,N5,9,17.04331294657688
1.9,N6,0,12.94005409415307
1.9,N6,1,15.955325202621298
1.9,N6,2,16.171059869084697
1.9,N6,3,14.575047282579952
1.9,N6,4,12.671619674291478
1.9,N6,5,14.983786951245404
1.9,N6,6,15.754283760720764
1.9,N6,7,14.416756109264234
1.9,N6,8,14.534910215170598
1.9,N6,9,15.182078435263875
1.95,N1,0,12.580714431203518
1.95,N1,1,12.766881697796668
1.95,N1,2,11.643899607431077
1.95,N1,3,13.428053593011512
1.95,N1,4,12.671752413467642
1.95,N1,5,12.881240010709641
1.95,N1,6,11.222617650866189
1.95,N1,7,13.791976014316138
1.95,N1,8,12.785835272452113
1.95,N1,9,13.034427048641007
1.95,N2,0,7.515004931627167
1.95,N2,1,7.001687828212039
1.95,N2,2,7.302829015926639
1.95,N2,3,5.806309953145491
1.95,N2,4,7.475866702694388
1.95,N2,5,7.405700974560447
1.95,N2,6,6.602412937875297
1.95,N2,7,8.067969801240256
1.95,N2,8,7.010046475253748
1.95,N2,9,8.64760447907932
1.95,N3,0,18.006147194061878
1.95,N3,1,18.829084038935896
1.95,N3,2,16.72139313645326
1.95,N3,3,19.67091415231185
1.95,N3,4,17.318639903189634
1.95,N3,5,39.797700331613925
1.95,N3,6,20.352165884963185
1.95,N3,7,18.06926640413023
1.95,N3,8,19.975665981871394
1.95,N3,9,16.447058464269656
1.95,N4,0,8.669253034640885
1.95,N4,1,8.628066339985251
1.95,N4,2,9.10705809643077
1.95,N4,3,9.001543335508995
1.95,N4,4,8.893568600084262
1.95,N4,5,9.07948138695782
1.95,N4,6,8.034721832877763
1.95,N4,7,8.758111167612327
1.95,N4,8,9.07529015205747
1.95,N4,9,8.821934515473444
1.95,N5,0,15.3527647469389
1.95,N5,1,18.82373980134447
1.95,N5,2,21.165060868335512
1.95,N5,3,23.232528774889065
1.95,N5,4,15.513980605404287
1.95,N5,5,17.199057785649167
1.95,N5,6,16.18545413287817
1.95,N5,7,27.854818782270197
1.95,N5,8,13.334263134899738
1.95,N5,9,17.04331294657688
1.95,N6,0,15.009916571898632
1.95,N6,1,15.955325202621298
1.95,N6,2,16.171059869084697
1.95,N6,3,14.575047282579952
1.95,N6,4,14.609551187035407
1.95,N6,5,14.983786951245404
1.95,N6,6,15.754283760720764
1.95,N6,7,16.985054935203355
1.95,N6,8,14.534910215170598
1.95,N6,9,15.182078435263875
