ticker,kind,window,seed,acc,majority
AAPL,centered,3,0,0.725,0.655
AAPL,centered,3,1,0.72,0.655
AAPL,centered,3,2,0.715,0.655
AAPL,causal,3,0,0.61,0.655
AAPL,causal,3,1,0.605,0.655
AAPL,causal,3,2,0.61,0.655
AAPL,centered,5,0,0.675,0.655
AAPL,centered,5,1,0.67,0.655
AAPL,centered,5,2,0.67,0.655
AAPL,causal,5,0,0.6,0.655
AAPL,causal,5,1,0.6,0.655
AAPL,causal,5,2,0.6,0.655
AAPL,centered,7,0,0.655,0.655
AAPL,centered,7,1,0.655,0.655
AAPL,centered,7,2,0.66,0.655
AAPL,causal,7,0,0.63,0.655
AAPL,causal,7,1,0.63,0.655
AAPL,causal,7,2,0.63,0.655
AAPL,centered,9,0,0.64,0.655
AAPL,centered,9,1,0.65,0.655
AAPL,centered,9,2,0.64,0.655
AAPL,causal,9,0,0.645,0.655
AAPL,causal,9,1,0.64,0.655
AAPL,causal,9,2,0.645,0.655
AAPL,centered,13,0,0.655,0.655
AAPL,centered,13,1,0.655,0.655
AAPL,centered,13,2,0.655,0.655
AAPL,causal,13,0,0.65,0.655
AAPL,causal,13,1,0.645,0.655
AAPL,causal,13,2,0.645,0.655
AAPL,identity,1,0,0.655,0.655
AAPL,identity,1,1,0.655,0.655
AAPL,identity,1,2,0.655,0.655
AAPL,centered,3,0,0.685,0.65
AAPL,centered,3,1,0.68,0.65
AAPL,centered,3,2,0.685,0.65
AAPL,causal,3,0,0.615,0.65
AAPL,causal,3,1,0.6,0.65
AAPL,causal,3,2,0.62,0.65
AAPL,centered,5,0,0.675,0.65
AAPL,centered,5,1,0.675,0.65
AAPL,centered,5,2,0.67,0.65
AAPL,causal,5,0,0.59,0.65
AAPL,causal,5,1,0.605,0.65
AAPL,causal,5,2,0.59,0.65
AAPL,centered,7,0,0.655,0.65
AAPL,centered,7,1,0.655,0.65
AAPL,centered,7,2,0.655,0.65
AAPL,causal,7,0,0.645,0.65
AAPL,causal,7,1,0.64,0.65
AAPL,causal,7,2,0.64,0.65
AAPL,centered,9,0,0.66,0.65
AAPL,centered,9,1,0.655,0.65
AAPL,centered,9,2,0.655,0.65
AAPL,causal,9,0,0.635,0.65
AAPL,causal,9,1,0.635,0.65
AAPL,causal,9,2,0.635,0.65
AAPL,centered,13,0,0.65,0.65
AAPL,centered,13,1,0.65,0.65
AAPL,centered,13,2,0.65,0.65
AAPL,causal,13,0,0.65,0.65
AAPL,causal,13,1,0.65,0.65
AAPL,causal,13,2,0.65,0.65
AAPL,identity,1,0,0.65,0.65
AAPL,identity,1,1,0.65,0.65
AAPL,identity,1,2,0.64,0.65
AAPL,centered,3,0,0.665,0.6599999999999999
AAPL,centered,3,1,0.665,0.6599999999999999
AAPL,centered,3,2,0.67,0.6599999999999999
AAPL,causal,3,0,0.645,0.6599999999999999
AAPL,causal,3,1,0.635,0.6599999999999999
AAPL,causal,3,2,0.635,0.6599999999999999
AAPL,centered,5,0,0.675,0.6599999999999999
AAPL,centered,5,1,0.67,0.6599999999999999
AAPL,centered,5,2,0.68,0.6599999999999999
AAPL,causal,5,0,0.645,0.6599999999999999
AAPL,causal,5,1,0.65,0.6599999999999999
AAPL,causal,5,2,0.645,0.6599999999999999
AAPL,centered,7,0,0.66,0.6599999999999999
AAPL,centered,7,1,0.66,0.6599999999999999
AAPL,centered,7,2,0.655,0.6599999999999999
AAPL,causal,7,0,0.66,0.6599999999999999
AAPL,causal,7,1,0.66,0.6599999999999999
AAPL,causal,7,2,0.66,0.6599999999999999
AAPL,centered,9,0,0.66,0.6599999999999999
AAPL,centered,9,1,0.66,0.6599999999999999
AAPL,centered,9,2,0.66,0.6599999999999999
AAPL,causal,9,0,0.66,0.6599999999999999
AAPL,causal,9,1,0.66,0.6599999999999999
AAPL,causal,9,2,0.66,0.6599999999999999
AAPL,centered,13,0,0.66,0.6599999999999999
AAPL,centered,13,1,0.66,0.6599999999999999
AAPL,centered,13,2,0.66,0.6599999999999999
AAPL,causal,13,0,0.66,0.6599999999999999
AAPL,causal,13,1,0.66,0.6599999999999999
AAPL,causal,13,2,0.66,0.6599999999999999
AAPL,identity,1,0,0.66,0.6599999999999999
AAPL,identity,1,1,0.66,0.6599999999999999
AAPL,identity,1,2,0.66,0.6599999999999999
AAPL,centered,3,0,0.635,0.615
AAPL,centered,3,1,0.62,0.615
AAPL,centered,3,2,0.63,0.615
AAPL,causal,3,0,0.57,0.615
AAPL,causal,3,1,0.595,0.615
AAPL,causal,3,2,0.59,0.615
AAPL,centered,5,0,0.625,0.615
AAPL,centered,5,1,0.625,0.615
AAPL,centered,5,2,0.625,0.615
AAPL,causal,5,0,0.595,0.615
AAPL,causal,5,1,0.6,0.615
AAPL,causal,5,2,0.605,0.615
AAPL,centered,7,0,0.62,0.615
AAPL,centered,7,1,0.605,0.615
AAPL,centered,7,2,0.605,0.615
AAPL,causal,7,0,0.6,0.615
AAPL,causal,7,1,0.605,0.615
AAPL,causal,7,2,0.61,0.615
AAPL,centered,9,0,0.62,0.615
AAPL,centered,9,1,0.62,0.615
AAPL,centered,9,2,0.62,0.615
AAPL,causal,9,0,0.6,0.615
AAPL,causal,9,1,0.6,0.615
AAPL,causal,9,2,0.6,0.615
AAPL,centered,13,0,0.615,0.615
AAPL,centered,13,1,0.615,0.615
AAPL,centered,13,2,0.615,0.615
AAPL,causal,13,0,0.615,0.615
AAPL,causal,13,1,0.615,0.615
AAPL,causal,13,2,0.615,0.615
AAPL,identity,1,0,0.615,0.615
AAPL,identity,1,1,0.615,0.615
AAPL,identity,1,2,0.615,0.615
BTC-USD,centered,3,0,0.695,0.595
BTC-USD,centered,3,1,0.69,0.595
BTC-USD,centered,3,2,0.71,0.595
BTC-USD,causal,3,0,0.565,0.595
BTC-USD,causal,3,1,0.57,0.595
BTC-USD,causal,3,2,0.58,0.595
BTC-USD,centered,5,0,0.715,0.595
BTC-USD,centered,5,1,0.715,0.595
BTC-USD,centered,5,2,0.715,0.595
BTC-USD,causal,5,0,0.53,0.595
BTC-USD,causal,5,1,0.545,0.595
BTC-USD,causal,5,2,0.53,0.595
BTC-USD,centered,7,0,0.685,0.595
BTC-USD,centered,7,1,0.695,0.595
BTC-USD,centered,7,2,0.685,0.595
BTC-USD,causal,7,0,0.57,0.595
BTC-USD,causal,7,1,0.59,0.595
BTC-USD,causal,7,2,0.58,0.595
BTC-USD,centered,9,0,0.65,0.595
BTC-USD,centered,9,1,0.64,0.595
BTC-USD,centered,9,2,0.64,0.595
BTC-USD,causal,9,0,0.535,0.595
BTC-USD,causal,9,1,0.55,0.595
BTC-USD,causal,9,2,0.555,0.595
BTC-USD,centered,13,0,0.645,0.595
BTC-USD,centered,13,1,0.64,0.595
BTC-USD,centered,13,2,0.63,0.595
BTC-USD,causal,13,0,0.55,0.595
BTC-USD,causal,13,1,0.56,0.595
BTC-USD,causal,13,2,0.545,0.595
BTC-USD,identity,1,0,0.45,0.595
BTC-USD,identity,1,1,0.495,0.595
BTC-USD,identity,1,2,0.58,0.595
BTC-USD,centered,3,0,0.695,0.54
BTC-USD,centered,3,1,0.69,0.54
BTC-USD,centered,3,2,0.68,0.54
BTC-USD,causal,3,0,0.52,0.54
BTC-USD,causal,3,1,0.55,0.54
BTC-USD,causal,3,2,0.55,0.54
BTC-USD,centered,5,0,0.7,0.54
BTC-USD,centered,5,1,0.7,0.54
BTC-USD,centered,5,2,0.72,0.54
BTC-USD,causal,5,0,0.485,0.54
BTC-USD,causal,5,1,0.425,0.54
BTC-USD,causal,5,2,0.465,0.54
BTC-USD,centered,7,0,0.715,0.54
BTC-USD,centered,7,1,0.685,0.54
BTC-USD,centered,7,2,0.69,0.54
BTC-USD,causal,7,0,0.465,0.54
BTC-USD,causal,7,1,0.43,0.54
BTC-USD,causal,7,2,0.465,0.54
BTC-USD,centered,9,0,0.65,0.54
BTC-USD,centered,9,1,0.65,0.54
BTC-USD,centered,9,2,0.645,0.54
BTC-USD,causal,9,0,0.475,0.54
BTC-USD,causal,9,1,0.46,0.54
BTC-USD,causal,9,2,0.465,0.54
BTC-USD,centered,13,0,0.58,0.54
BTC-USD,centered,13,1,0.58,0.54
BTC-USD,centered,13,2,0.58,0.54
BTC-USD,causal,13,0,0.475,0.54
BTC-USD,causal,13,1,0.47,0.54
BTC-USD,causal,13,2,0.47,0.54
BTC-USD,identity,1,0,0.575,0.54
BTC-USD,identity,1,1,0.45,0.54
BTC-USD,identity,1,2,0.44,0.54
BTC-USD,centered,3,0,0.695,0.56
BTC-USD,centered,3,1,0.71,0.56
BTC-USD,centered,3,2,0.69,0.56
BTC-USD,causal,3,0,0.49,0.56
BTC-USD,causal,3,1,0.485,0.56
BTC-USD,causal,3,2,0.495,0.56
BTC-USD,centered,5,0,0.65,0.56
BTC-USD,centered,5,1,0.66,0.56
BTC-USD,centered,5,2,0.66,0.56
BTC-USD,causal,5,0,0.44,0.56
BTC-USD,causal,5,1,0.465,0.56
BTC-USD,causal,5,2,0.465,0.56
BTC-USD,centered,7,0,0.63,0.56
BTC-USD,centered,7,1,0.67,0.56
BTC-USD,centered,7,2,0.69,0.56
BTC-USD,causal,7,0,0.43,0.56
BTC-USD,causal,7,1,0.435,0.56
BTC-USD,causal,7,2,0.44,0.56
BTC-USD,centered,9,0,0.645,0.56
BTC-USD,centered,9,1,0.655,0.56
BTC-USD,centered,9,2,0.65,0.56
BTC-USD,causal,9,0,0.435,0.56
BTC-USD,causal,9,1,0.46,0.56
BTC-USD,causal,9,2,0.445,0.56
BTC-USD,centered,13,0,0.605,0.56
BTC-USD,centered,13,1,0.6,0.56
BTC-USD,centered,13,2,0.605,0.56
BTC-USD,causal,13,0,0.495,0.56
BTC-USD,causal,13,1,0.485,0.56
BTC-USD,causal,13,2,0.48,0.56
BTC-USD,identity,1,0,0.55,0.56
BTC-USD,identity,1,1,0.54,0.56
BTC-USD,identity,1,2,0.505,0.56
BTC-USD,centered,3,0,0.655,0.505
BTC-USD,centered,3,1,0.645,0.505
BTC-USD,centered,3,2,0.66,0.505
BTC-USD,causal,3,0,0.48,0.505
BTC-USD,causal,3,1,0.46,0.505
BTC-USD,causal,3,2,0.47,0.505
BTC-USD,centered,5,0,0.655,0.505
BTC-USD,centered,5,1,0.645,0.505
BTC-USD,centered,5,2,0.64,0.505
BTC-USD,causal,5,0,0.5,0.505
BTC-USD,causal,5,1,0.48,0.505
BTC-USD,causal,5,2,0.49,0.505
BTC-USD,centered,7,0,0.61,0.505
BTC-USD,centered,7,1,0.615,0.505
BTC-USD,centered,7,2,0.61,0.505
BTC-USD,causal,7,0,0.49,0.505
BTC-USD,causal,7,1,0.485,0.505
BTC-USD,causal,7,2,0.48,0.505
BTC-USD,centered,9,0,0.61,0.505
BTC-USD,centered,9,1,0.62,0.505
BTC-USD,centered,9,2,0.615,0.505
BTC-USD,causal,9,0,0.53,0.505
BTC-USD,causal,9,1,0.53,0.505
BTC-USD,causal,9,2,0.54,0.505
BTC-USD,centered,13,0,0.605,0.505
BTC-USD,centered,13,1,0.6,0.505
BTC-USD,centered,13,2,0.59,0.505
BTC-USD,causal,13,0,0.465,0.505
BTC-USD,causal,13,1,0.46,0.505
BTC-USD,causal,13,2,0.49,0.505
BTC-USD,identity,1,0,0.475,0.505
BTC-USD,identity,1,1,0.48,0.505
BTC-USD,identity,1,2,0.51,0.505
ETH-USD,centered,3,0,0.725,0.59
ETH-USD,centered,3,1,0.725,0.59
ETH-USD,centered,3,2,0.715,0.59
ETH-USD,causal,3,0,0.475,0.59
ETH-USD,causal,3,1,0.51,0.59
ETH-USD,causal,3,2,0.46,0.59
ETH-USD,centered,5,0,0.685,0.59
ETH-USD,centered,5,1,0.685,0.59
ETH-USD,centered,5,2,0.67,0.59
ETH-USD,causal,5,0,0.46,0.59
ETH-USD,causal,5,1,0.48,0.59
ETH-USD,causal,5,2,0.465,0.59
ETH-USD,centered,7,0,0.625,0.59
ETH-USD,centered,7,1,0.64,0.59
ETH-USD,centered,7,2,0.635,0.59
ETH-USD,causal,7,0,0.45,0.59
ETH-USD,causal,7,1,0.47,0.59
ETH-USD,causal,7,2,0.495,0.59
ETH-USD,centered,9,0,0.595,0.59
ETH-USD,centered,9,1,0.62,0.59
ETH-USD,centered,9,2,0.605,0.59
ETH-USD,causal,9,0,0.515,0.59
ETH-USD,causal,9,1,0.515,0.59
ETH-USD,causal,9,2,0.51,0.59
ETH-USD,centered,13,0,0.61,0.59
ETH-USD,centered,13,1,0.62,0.59
ETH-USD,centered,13,2,0.625,0.59
ETH-USD,causal,13,0,0.525,0.59
ETH-USD,causal,13,1,0.525,0.59
ETH-USD,causal,13,2,0.515,0.59
ETH-USD,identity,1,0,0.43,0.59
ETH-USD,identity,1,1,0.485,0.59
ETH-USD,identity,1,2,0.505,0.59
ETH-USD,centered,3,0,0.715,0.5449999999999999
ETH-USD,centered,3,1,0.72,0.5449999999999999
ETH-USD,centered,3,2,0.635,0.5449999999999999
ETH-USD,causal,3,0,0.485,0.5449999999999999
ETH-USD,causal,3,1,0.495,0.5449999999999999
ETH-USD,causal,3,2,0.49,0.5449999999999999
ETH-USD,centered,5,0,0.67,0.5449999999999999
ETH-USD,centered,5,1,0.645,0.5449999999999999
ETH-USD,centered,5,2,0.645,0.5449999999999999
ETH-USD,causal,5,0,0.355,0.5449999999999999
ETH-USD,causal,5,1,0.355,0.5449999999999999
ETH-USD,causal,5,2,0.355,0.5449999999999999
ETH-USD,centered,7,0,0.645,0.5449999999999999
ETH-USD,centered,7,1,0.63,0.5449999999999999
ETH-USD,centered,7,2,0.61,0.5449999999999999
ETH-USD,causal,7,0,0.48,0.5449999999999999
ETH-USD,causal,7,1,0.445,0.5449999999999999
ETH-USD,causal,7,2,0.46,0.5449999999999999
ETH-USD,centered,9,0,0.615,0.5449999999999999
ETH-USD,centered,9,1,0.595,0.5449999999999999
ETH-USD,centered,9,2,0.61,0.5449999999999999
ETH-USD,causal,9,0,0.425,0.5449999999999999
ETH-USD,causal,9,1,0.435,0.5449999999999999
ETH-USD,causal,9,2,0.44,0.5449999999999999
ETH-USD,centered,13,0,0.565,0.5449999999999999
ETH-USD,centered,13,1,0.56,0.5449999999999999
ETH-USD,centered,13,2,0.57,0.5449999999999999
ETH-USD,causal,13,0,0.425,0.5449999999999999
ETH-USD,causal,13,1,0.425,0.5449999999999999
ETH-USD,causal,13,2,0.425,0.5449999999999999
ETH-USD,identity,1,0,0.435,0.5449999999999999
ETH-USD,identity,1,1,0.47,0.5449999999999999
ETH-USD,identity,1,2,0.465,0.5449999999999999
ETH-USD,centered,3,0,0.64,0.55
ETH-USD,centered,3,1,0.65,0.55
ETH-USD,centered,3,2,0.695,0.55
ETH-USD,causal,3,0,0.48,0.55
ETH-USD,causal,3,1,0.485,0.55
ETH-USD,causal,3,2,0.48,0.55
ETH-USD,centered,5,0,0.645,0.55
ETH-USD,centered,5,1,0.675,0.55
ETH-USD,centered,5,2,0.655,0.55
ETH-USD,causal,5,0,0.505,0.55
ETH-USD,causal,5,1,0.475,0.55
ETH-USD,causal,5,2,0.465,0.55
ETH-USD,centered,7,0,0.665,0.55
ETH-USD,centered,7,1,0.67,0.55
ETH-USD,centered,7,2,0.67,0.55
ETH-USD,causal,7,0,0.525,0.55
ETH-USD,causal,7,1,0.485,0.55
ETH-USD,causal,7,2,0.475,0.55
ETH-USD,centered,9,0,0.625,0.55
ETH-USD,centered,9,1,0.635,0.55
ETH-USD,centered,9,2,0.625,0.55
ETH-USD,causal,9,0,0.5,0.55
ETH-USD,causal,9,1,0.495,0.55
ETH-USD,causal,9,2,0.465,0.55
ETH-USD,centered,13,0,0.625,0.55
ETH-USD,centered,13,1,0.63,0.55
ETH-USD,centered,13,2,0.62,0.55
ETH-USD,causal,13,0,0.475,0.55
ETH-USD,causal,13,1,0.46,0.55
ETH-USD,causal,13,2,0.445,0.55
ETH-USD,identity,1,0,0.57,0.55
ETH-USD,identity,1,1,0.525,0.55
ETH-USD,identity,1,2,0.585,0.55
ETH-USD,centered,3,0,0.675,0.52
ETH-USD,centered,3,1,0.665,0.52
ETH-USD,centered,3,2,0.665,0.52
ETH-USD,causal,3,0,0.475,0.52
ETH-USD,causal,3,1,0.485,0.52
ETH-USD,causal,3,2,0.475,0.52
ETH-USD,centered,5,0,0.665,0.52
ETH-USD,centered,5,1,0.66,0.52
ETH-USD,centered,5,2,0.66,0.52
ETH-USD,causal,5,0,0.52,0.52
ETH-USD,causal,5,1,0.525,0.52
ETH-USD,causal,5,2,0.515,0.52
ETH-USD,centered,7,0,0.66,0.52
ETH-USD,centered,7,1,0.665,0.52
ETH-USD,centered,7,2,0.67,0.52
ETH-USD,causal,7,0,0.535,0.52
ETH-USD,causal,7,1,0.515,0.52
ETH-USD,causal,7,2,0.535,0.52
ETH-USD,centered,9,0,0.63,0.52
ETH-USD,centered,9,1,0.64,0.52
ETH-USD,centered,9,2,0.65,0.52
ETH-USD,causal,9,0,0.5,0.52
ETH-USD,causal,9,1,0.495,0.52
ETH-USD,causal,9,2,0.505,0.52
ETH-USD,centered,13,0,0.61,0.52
ETH-USD,centered,13,1,0.62,0.52
ETH-USD,centered,13,2,0.615,0.52
ETH-USD,causal,13,0,0.525,0.52
ETH-USD,causal,13,1,0.52,0.52
ETH-USD,causal,13,2,0.52,0.52
ETH-USD,identity,1,0,0.47,0.52
ETH-USD,identity,1,1,0.475,0.52
ETH-USD,identity,1,2,0.49,0.52
EURUSD=X,centered,3,0,0.62,0.62
EURUSD=X,centered,3,1,0.625,0.62
EURUSD=X,centered,3,2,0.625,0.62
EURUSD=X,causal,3,0,0.62,0.62
EURUSD=X,causal,3,1,0.61,0.62
EURUSD=X,causal,3,2,0.615,0.62
EURUSD=X,centered,5,0,0.62,0.62
EURUSD=X,centered,5,1,0.62,0.62
EURUSD=X,centered,5,2,0.62,0.62
EURUSD=X,causal,5,0,0.62,0.62
EURUSD=X,causal,5,1,0.62,0.62
EURUSD=X,causal,5,2,0.61,0.62
EURUSD=X,centered,7,0,0.62,0.62
EURUSD=X,centered,7,1,0.62,0.62
EURUSD=X,centered,7,2,0.62,0.62
EURUSD=X,causal,7,0,0.62,0.62
EURUSD=X,causal,7,1,0.62,0.62
EURUSD=X,causal,7,2,0.62,0.62
EURUSD=X,centered,9,0,0.62,0.62
EURUSD=X,centered,9,1,0.62,0.62
EURUSD=X,centered,9,2,0.62,0.62
EURUSD=X,causal,9,0,0.62,0.62
EURUSD=X,causal,9,1,0.62,0.62
EURUSD=X,causal,9,2,0.62,0.62
EURUSD=X,centered,13,0,0.62,0.62
EURUSD=X,centered,13,1,0.62,0.62
EURUSD=X,centered,13,2,0.62,0.62
EURUSD=X,causal,13,0,0.62,0.62
EURUSD=X,causal,13,1,0.62,0.62
EURUSD=X,causal,13,2,0.62,0.62
EURUSD=X,identity,1,0,0.62,0.62
EURUSD=X,identity,1,1,0.63,0.62
EURUSD=X,identity,1,2,0.625,0.62
EURUSD=X,centered,3,0,0.65,0.64
EURUSD=X,centered,3,1,0.64,0.64
EURUSD=X,centered,3,2,0.64,0.64
EURUSD=X,causal,3,0,0.605,0.64
EURUSD=X,causal,3,1,0.62,0.64
EURUSD=X,causal,3,2,0.615,0.64
EURUSD=X,centered,5,0,0.645,0.64
EURUSD=X,centered,5,1,0.655,0.64
EURUSD=X,centered,5,2,0.665,0.64
EURUSD=X,causal,5,0,0.61,0.64
EURUSD=X,causal,5,1,0.615,0.64
EURUSD=X,causal,5,2,0.615,0.64
EURUSD=X,centered,7,0,0.635,0.64
EURUSD=X,centered,7,1,0.64,0.64
EURUSD=X,centered,7,2,0.635,0.64
EURUSD=X,causal,7,0,0.64,0.64
EURUSD=X,causal,7,1,0.64,0.64
EURUSD=X,causal,7,2,0.64,0.64
EURUSD=X,centered,9,0,0.64,0.64
EURUSD=X,centered,9,1,0.64,0.64
EURUSD=X,centered,9,2,0.635,0.64
EURUSD=X,causal,9,0,0.64,0.64
EURUSD=X,causal,9,1,0.64,0.64
EURUSD=X,causal,9,2,0.64,0.64
EURUSD=X,centered,13,0,0.64,0.64
EURUSD=X,centered,13,1,0.64,0.64
EURUSD=X,centered,13,2,0.64,0.64
EURUSD=X,causal,13,0,0.64,0.64
EURUSD=X,causal,13,1,0.64,0.64
EURUSD=X,causal,13,2,0.64,0.64
EURUSD=X,identity,1,0,0.645,0.64
EURUSD=X,identity,1,1,0.635,0.64
EURUSD=X,identity,1,2,0.65,0.64
EURUSD=X,centered,3,0,0.665,0.665
EURUSD=X,centered,3,1,0.665,0.665
EURUSD=X,centered,3,2,0.665,0.665
EURUSD=X,causal,3,0,0.655,0.665
EURUSD=X,causal,3,1,0.665,0.665
EURUSD=X,causal,3,2,0.655,0.665
EURUSD=X,centered,5,0,0.665,0.665
EURUSD=X,centered,5,1,0.665,0.665
EURUSD=X,centered,5,2,0.665,0.665
EURUSD=X,causal,5,0,0.665,0.665
EURUSD=X,causal,5,1,0.665,0.665
EURUSD=X,causal,5,2,0.665,0.665
EURUSD=X,centered,7,0,0.665,0.665
EURUSD=X,centered,7,1,0.665,0.665
EURUSD=X,centered,7,2,0.665,0.665
EURUSD=X,causal,7,0,0.665,0.665
EURUSD=X,causal,7,1,0.665,0.665
EURUSD=X,causal,7,2,0.665,0.665
EURUSD=X,centered,9,0,0.665,0.665
EURUSD=X,centered,9,1,0.665,0.665
EURUSD=X,centered,9,2,0.665,0.665
EURUSD=X,causal,9,0,0.665,0.665
EURUSD=X,causal,9,1,0.665,0.665
EURUSD=X,causal,9,2,0.665,0.665
EURUSD=X,centered,13,0,0.665,0.665
EURUSD=X,centered,13,1,0.665,0.665
EURUSD=X,centered,13,2,0.665,0.665
EURUSD=X,causal,13,0,0.665,0.665
EURUSD=X,causal,13,1,0.665,0.665
EURUSD=X,causal,13,2,0.665,0.665
EURUSD=X,identity,1,0,0.665,0.665
EURUSD=X,identity,1,1,0.665,0.665
EURUSD=X,identity,1,2,0.665,0.665
EURUSD=X,centered,3,0,0.65,0.65
EURUSD=X,centered,3,1,0.65,0.65
EURUSD=X,centered,3,2,0.645,0.65
EURUSD=X,causal,3,0,0.65,0.65
EURUSD=X,causal,3,1,0.65,0.65
EURUSD=X,causal,3,2,0.65,0.65
EURUSD=X,centered,5,0,0.645,0.65
EURUSD=X,centered,5,1,0.645,0.65
EURUSD=X,centered,5,2,0.645,0.65
EURUSD=X,causal,5,0,0.65,0.65
EURUSD=X,causal,5,1,0.65,0.65
EURUSD=X,causal,5,2,0.65,0.65
EURUSD=X,centered,7,0,0.65,0.65
EURUSD=X,centered,7,1,0.65,0.65
EURUSD=X,centered,7,2,0.65,0.65
EURUSD=X,causal,7,0,0.65,0.65
EURUSD=X,causal,7,1,0.65,0.65
EURUSD=X,causal,7,2,0.65,0.65
EURUSD=X,centered,9,0,0.65,0.65
EURUSD=X,centered,9,1,0.65,0.65
EURUSD=X,centered,9,2,0.65,0.65
EURUSD=X,causal,9,0,0.65,0.65
EURUSD=X,causal,9,1,0.65,0.65
EURUSD=X,causal,9,2,0.65,0.65
EURUSD=X,centered,13,0,0.65,0.65
EURUSD=X,centered,13,1,0.65,0.65
EURUSD=X,centered,13,2,0.65,0.65
EURUSD=X,causal,13,0,0.65,0.65
EURUSD=X,causal,13,1,0.65,0.65
EURUSD=X,causal,13,2,0.65,0.65
EURUSD=X,identity,1,0,0.65,0.65
EURUSD=X,identity,1,1,0.65,0.65
EURUSD=X,identity,1,2,0.645,0.65
GBPUSD=X,centered,3,0,0.6,0.595
GBPUSD=X,centered,3,1,0.6,0.595
GBPUSD=X,centered,3,2,0.6,0.595
GBPUSD=X,causal,3,0,0.59,0.595
GBPUSD=X,causal,3,1,0.59,0.595
GBPUSD=X,causal,3,2,0.59,0.595
GBPUSD=X,centered,5,0,0.59,0.595
GBPUSD=X,centered,5,1,0.59,0.595
GBPUSD=X,centered,5,2,0.59,0.595
GBPUSD=X,causal,5,0,0.59,0.595
GBPUSD=X,causal,5,1,0.59,0.595
GBPUSD=X,causal,5,2,0.585,0.595
GBPUSD=X,centered,7,0,0.595,0.595
GBPUSD=X,centered,7,1,0.595,0.595
GBPUSD=X,centered,7,2,0.595,0.595
GBPUSD=X,causal,7,0,0.595,0.595
GBPUSD=X,causal,7,1,0.595,0.595
GBPUSD=X,causal,7,2,0.595,0.595
GBPUSD=X,centered,9,0,0.595,0.595
GBPUSD=X,centered,9,1,0.595,0.595
GBPUSD=X,centered,9,2,0.595,0.595
GBPUSD=X,causal,9,0,0.595,0.595
GBPUSD=X,causal,9,1,0.595,0.595
GBPUSD=X,causal,9,2,0.595,0.595
GBPUSD=X,centered,13,0,0.595,0.595
GBPUSD=X,centered,13,1,0.595,0.595
GBPUSD=X,centered,13,2,0.595,0.595
GBPUSD=X,causal,13,0,0.595,0.595
GBPUSD=X,causal,13,1,0.595,0.595
GBPUSD=X,causal,13,2,0.595,0.595
GBPUSD=X,identity,1,0,0.595,0.595
GBPUSD=X,identity,1,1,0.6,0.595
GBPUSD=X,identity,1,2,0.595,0.595
GBPUSD=X,centered,3,0,0.68,0.6699999999999999
GBPUSD=X,centered,3,1,0.675,0.6699999999999999
GBPUSD=X,centered,3,2,0.675,0.6699999999999999
GBPUSD=X,causal,3,0,0.625,0.6699999999999999
