ticker,window,seed,acc,majority
AAPL,1,0,0.655,0.655
AAPL,1,1,0.655,0.655
AAPL,1,2,0.655,0.655
AAPL,3,0,0.725,0.655
AAPL,3,1,0.72,0.655
AAPL,3,2,0.715,0.655
AAPL,5,0,0.675,0.655
AAPL,5,1,0.67,0.655
AAPL,5,2,0.67,0.655
AAPL,7,0,0.655,0.655
AAPL,7,1,0.655,0.655
AAPL,7,2,0.66,0.655
AAPL,9,0,0.64,0.655
AAPL,9,1,0.65,0.655
AAPL,9,2,0.64,0.655
AAPL,13,0,0.655,0.655
AAPL,13,1,0.655,0.655
AAPL,13,2,0.655,0.655
AAPL,17,0,0.655,0.655
AAPL,17,1,0.655,0.655
AAPL,17,2,0.655,0.655
AAPL,21,0,0.655,0.655
AAPL,21,1,0.655,0.655
AAPL,21,2,0.655,0.655
AAPL,31,0,0.655,0.655
AAPL,31,1,0.655,0.655
AAPL,31,2,0.655,0.655
AAPL,51,0,0.655,0.655
AAPL,51,1,0.655,0.655
AAPL,51,2,0.655,0.655
AAPL,1,0,0.65,0.65
AAPL,1,1,0.65,0.65
AAPL,1,2,0.64,0.65
AAPL,3,0,0.685,0.65
AAPL,3,1,0.68,0.65
AAPL,3,2,0.685,0.65
AAPL,5,0,0.675,0.65
AAPL,5,1,0.675,0.65
AAPL,5,2,0.67,0.65
AAPL,7,0,0.655,0.65
AAPL,7,1,0.655,0.65
AAPL,7,2,0.655,0.65
AAPL,9,0,0.66,0.65
AAPL,9,1,0.655,0.65
AAPL,9,2,0.655,0.65
AAPL,13,0,0.65,0.65
AAPL,13,1,0.65,0.65
AAPL,13,2,0.65,0.65
AAPL,17,0,0.65,0.65
AAPL,17,1,0.65,0.65
AAPL,17,2,0.65,0.65
AAPL,21,0,0.65,0.65
AAPL,21,1,0.65,0.65
AAPL,21,2,0.65,0.65
AAPL,31,0,0.65,0.65
AAPL,31,1,0.65,0.65
AAPL,31,2,0.65,0.65
AAPL,51,0,0.65,0.65
AAPL,51,1,0.65,0.65
AAPL,51,2,0.65,0.65
AAPL,1,0,0.66,0.6599999999999999
AAPL,1,1,0.66,0.6599999999999999
AAPL,1,2,0.66,0.6599999999999999
AAPL,3,0,0.665,0.6599999999999999
AAPL,3,1,0.665,0.6599999999999999
AAPL,3,2,0.67,0.6599999999999999
AAPL,5,0,0.675,0.6599999999999999
AAPL,5,1,0.67,0.6599999999999999
AAPL,5,2,0.68,0.6599999999999999
AAPL,7,0,0.66,0.6599999999999999
AAPL,7,1,0.66,0.6599999999999999
AAPL,7,2,0.655,0.6599999999999999
AAPL,9,0,0.66,0.6599999999999999
AAPL,9,1,0.66,0.6599999999999999
AAPL,9,2,0.66,0.6599999999999999
AAPL,13,0,0.66,0.6599999999999999
AAPL,13,1,0.66,0.6599999999999999
AAPL,13,2,0.66,0.6599999999999999
AAPL,17,0,0.66,0.6599999999999999
AAPL,17,1,0.66,0.6599999999999999
AAPL,17,2,0.66,0.6599999999999999
AAPL,21,0,0.66,0.6599999999999999
AAPL,21,1,0.66,0.6599999999999999
AAPL,21,2,0.66,0.6599999999999999
AAPL,31,0,0.66,0.6599999999999999
AAPL,31,1,0.66,0.6599999999999999
AAPL,31,2,0.66,0.6599999999999999
AAPL,51,0,0.66,0.6599999999999999
AAPL,51,1,0.66,0.6599999999999999
AAPL,51,2,0.66,0.6599999999999999
AAPL,1,0,0.615,0.615
AAPL,1,1,0.615,0.615
AAPL,1,2,0.615,0.615
AAPL,3,0,0.635,0.615
AAPL,3,1,0.62,0.615
AAPL,3,2,0.63,0.615
AAPL,5,0,0.625,0.615
AAPL,5,1,0.625,0.615
AAPL,5,2,0.625,0.615
AAPL,7,0,0.62,0.615
AAPL,7,1,0.605,0.615
AAPL,7,2,0.605,0.615
AAPL,9,0,0.62,0.615
AAPL,9,1,0.62,0.615
AAPL,9,2,0.62,0.615
AAPL,13,0,0.615,0.615
AAPL,13,1,0.615,0.615
AAPL,13,2,0.615,0.615
AAPL,17,0,0.615,0.615
AAPL,17,1,0.615,0.615
AAPL,17,2,0.615,0.615
AAPL,21,0,0.615,0.615
AAPL,21,1,0.615,0.615
AAPL,21,2,0.615,0.615
AAPL,31,0,0.615,0.615
AAPL,31,1,0.615,0.615
AAPL,31,2,0.615,0.615
AAPL,51,0,0.615,0.615
AAPL,51,1,0.615,0.615
AAPL,51,2,0.615,0.615
BTC-USD,1,0,0.45,0.595
BTC-USD,1,1,0.495,0.595
BTC-USD,1,2,0.58,0.595
BTC-USD,3,0,0.695,0.595
BTC-USD,3,1,0.69,0.595
BTC-USD,3,2,0.71,0.595
BTC-USD,5,0,0.715,0.595
BTC-USD,5,1,0.715,0.595
BTC-USD,5,2,0.715,0.595
BTC-USD,7,0,0.685,0.595
BTC-USD,7,1,0.695,0.595
BTC-USD,7,2,0.685,0.595
BTC-USD,9,0,0.65,0.595
BTC-USD,9,1,0.64,0.595
BTC-USD,9,2,0.64,0.595
BTC-USD,13,0,0.645,0.595
BTC-USD,13,1,0.64,0.595
BTC-USD,13,2,0.63,0.595
BTC-USD,17,0,0.62,0.595
BTC-USD,17,1,0.62,0.595
BTC-USD,17,2,0.61,0.595
BTC-USD,21,0,0.605,0.595
BTC-USD,21,1,0.6,0.595
BTC-USD,21,2,0.605,0.595
BTC-USD,31,0,0.6,0.595
BTC-USD,31,1,0.6,0.595
BTC-USD,31,2,0.595,0.595
BTC-USD,51,0,0.595,0.595
BTC-USD,51,1,0.585,0.595
BTC-USD,51,2,0.595,0.595
BTC-USD,1,0,0.575,0.54
BTC-USD,1,1,0.45,0.54
BTC-USD,1,2,0.44,0.54
BTC-USD,3,0,0.695,0.54
BTC-USD,3,1,0.69,0.54
BTC-USD,3,2,0.68,0.54
BTC-USD,5,0,0.7,0.54
BTC-USD,5,1,0.7,0.54
BTC-USD,5,2,0.72,0.54
BTC-USD,7,0,0.715,0.54
BTC-USD,7,1,0.685,0.54
BTC-USD,7,2,0.69,0.54
BTC-USD,9,0,0.65,0.54
BTC-USD,9,1,0.65,0.54
BTC-USD,9,2,0.645,0.54
BTC-USD,13,0,0.58,0.54
BTC-USD,13,1,0.58,0.54
BTC-USD,13,2,0.58,0.54
BTC-USD,17,0,0.56,0.54
BTC-USD,17,1,0.56,0.54
BTC-USD,17,2,0.56,0.54
BTC-USD,21,0,0.54,0.54
BTC-USD,21,1,0.545,0.54
BTC-USD,21,2,0.545,0.54
BTC-USD,31,0,0.575,0.54
BTC-USD,31,1,0.575,0.54
BTC-USD,31,2,0.575,0.54
BTC-USD,51,0,0.56,0.54
BTC-USD,51,1,0.555,0.54
BTC-USD,51,2,0.56,0.54
BTC-USD,1,0,0.55,0.56
BTC-USD,1,1,0.54,0.56
BTC-USD,1,2,0.505,0.56
BTC-USD,3,0,0.695,0.56
BTC-USD,3,1,0.71,0.56
BTC-USD,3,2,0.69,0.56
BTC-USD,5,0,0.65,0.56
BTC-USD,5,1,0.66,0.56
BTC-USD,5,2,0.66,0.56
BTC-USD,7,0,0.63,0.56
BTC-USD,7,1,0.67,0.56
BTC-USD,7,2,0.69,0.56
BTC-USD,9,0,0.645,0.56
BTC-USD,9,1,0.655,0.56
BTC-USD,9,2,0.65,0.56
BTC-USD,13,0,0.605,0.56
BTC-USD,13,1,0.6,0.56
BTC-USD,13,2,0.605,0.56
BTC-USD,17,0,0.55,0.56
BTC-USD,17,1,0.565,0.56
BTC-USD,17,2,0.56,0.56
BTC-USD,21,0,0.555,0.56
BTC-USD,21,1,0.56,0.56
BTC-USD,21,2,0.56,0.56
BTC-USD,31,0,0.58,0.56
BTC-USD,31,1,0.57,0.56
BTC-USD,31,2,0.58,0.56
BTC-USD,51,0,0.55,0.56
BTC-USD,51,1,0.555,0.56
BTC-USD,51,2,0.55,0.56
BTC-USD,1,0,0.475,0.505
BTC-USD,1,1,0.48,0.505
BTC-USD,1,2,0.51,0.505
BTC-USD,3,0,0.655,0.505
BTC-USD,3,1,0.645,0.505
BTC-USD,3,2,0.66,0.505
BTC-USD,5,0,0.655,0.505
BTC-USD,5,1,0.645,0.505
BTC-USD,5,2,0.64,0.505
BTC-USD,7,0,0.61,0.505
BTC-USD,7,1,0.615,0.505
BTC-USD,7,2,0.61,0.505
BTC-USD,9,0,0.61,0.505
BTC-USD,9,1,0.62,0.505
BTC-USD,9,2,0.615,0.505
BTC-USD,13,0,0.605,0.505
BTC-USD,13,1,0.6,0.505
BTC-USD,13,2,0.59,0.505
BTC-USD,17,0,0.585,0.505
BTC-USD,17,1,0.555,0.505
BTC-USD,17,2,0.54,0.505
BTC-USD,21,0,0.53,0.505
BTC-USD,21,1,0.525,0.505
BTC-USD,21,2,0.53,0.505
BTC-USD,31,0,0.525,0.505
BTC-USD,31,1,0.54,0.505
BTC-USD,31,2,0.53,0.505
BTC-USD,51,0,0.55,0.505
BTC-USD,51,1,0.575,0.505
BTC-USD,51,2,0.55,0.505
ETH-USD,1,0,0.43,0.59
ETH-USD,1,1,0.485,0.59
ETH-USD,1,2,0.505,0.59
ETH-USD,3,0,0.725,0.59
ETH-USD,3,1,0.725,0.59
ETH-USD,3,2,0.715,0.59
ETH-USD,5,0,0.685,0.59
ETH-USD,5,1,0.685,0.59
ETH-USD,5,2,0.67,0.59
ETH-USD,7,0,0.625,0.59
ETH-USD,7,1,0.64,0.59
ETH-USD,7,2,0.635,0.59
ETH-USD,9,0,0.595,0.59
ETH-USD,9,1,0.62,0.59
ETH-USD,9,2,0.605,0.59
ETH-USD,13,0,0.61,0.59
ETH-USD,13,1,0.62,0.59
ETH-USD,13,2,0.625,0.59
ETH-USD,17,0,0.615,0.59
ETH-USD,17,1,0.62,0.59
ETH-USD,17,2,0.62,0.59
ETH-USD,21,0,0.61,0.59
ETH-USD,21,1,0.605,0.59
ETH-USD,21,2,0.61,0.59
ETH-USD,31,0,0.605,0.59
ETH-USD,31,1,0.595,0.59
ETH-USD,31,2,0.595,0.59
ETH-USD,51,0,0.585,0.59
ETH-USD,51,1,0.59,0.59
ETH-USD,51,2,0.59,0.59
ETH-USD,1,0,0.435,0.5449999999999999
ETH-USD,1,1,0.47,0.5449999999999999
ETH-USD,1,2,0.465,0.5449999999999999
ETH-USD,3,0,0.715,0.5449999999999999
ETH-USD,3,1,0.72,0.5449999999999999
ETH-USD,3,2,0.635,0.5449999999999999
ETH-USD,5,0,0.67,0.5449999999999999
ETH-USD,5,1,0.645,0.5449999999999999
ETH-USD,5,2,0.645,0.5449999999999999
ETH-USD,7,0,0.645,0.5449999999999999
ETH-USD,7,1,0.63,0.5449999999999999
ETH-USD,7,2,0.61,0.5449999999999999
ETH-USD,9,0,0.615,0.5449999999999999
ETH-USD,9,1,0.595,0.5449999999999999
ETH-USD,9,2,0.61,0.5449999999999999
ETH-USD,13,0,0.565,0.5449999999999999
ETH-USD,13,1,0.56,0.5449999999999999
ETH-USD,13,2,0.57,0.5449999999999999
ETH-USD,17,0,0.545,0.5449999999999999
ETH-USD,17,1,0.535,0.5449999999999999
ETH-USD,17,2,0.52,0.5449999999999999
ETH-USD,21,0,0.545,0.5449999999999999
ETH-USD,21,1,0.565,0.5449999999999999
ETH-USD,21,2,0.565,0.5449999999999999
ETH-USD,31,0,0.535,0.5449999999999999
ETH-USD,31,1,0.535,0.5449999999999999
ETH-USD,31,2,0.52,0.5449999999999999
ETH-USD,51,0,0.54,0.5449999999999999
ETH-USD,51,1,0.54,0.5449999999999999
ETH-USD,51,2,0.54,0.5449999999999999
ETH-USD,1,0,0.57,0.55
ETH-USD,1,1,0.525,0.55
ETH-USD,1,2,0.585,0.55
ETH-USD,3,0,0.64,0.55
ETH-USD,3,1,0.65,0.55
ETH-USD,3,2,0.695,0.55
ETH-USD,5,0,0.645,0.55
ETH-USD,5,1,0.675,0.55
ETH-USD,5,2,0.655,0.55
ETH-USD,7,0,0.665,0.55
ETH-USD,7,1,0.67,0.55
ETH-USD,7,2,0.67,0.55
ETH-USD,9,0,0.625,0.55
ETH-USD,9,1,0.635,0.55
ETH-USD,9,2,0.625,0.55
ETH-USD,13,0,0.625,0.55
ETH-USD,13,1,0.63,0.55
ETH-USD,13,2,0.62,0.55
ETH-USD,17,0,0.585,0.55
ETH-USD,17,1,0.59,0.55
ETH-USD,17,2,0.59,0.55
ETH-USD,21,0,0.575,0.55
ETH-USD,21,1,0.575,0.55
ETH-USD,21,2,0.56,0.55
ETH-USD,31,0,0.595,0.55
ETH-USD,31,1,0.6,0.55
ETH-USD,31,2,0.595,0.55
ETH-USD,51,0,0.585,0.55
ETH-USD,51,1,0.585,0.55
ETH-USD,51,2,0.555,0.55
ETH-USD,1,0,0.47,0.52
ETH-USD,1,1,0.475,0.52
ETH-USD,1,2,0.49,0.52
ETH-USD,3,0,0.675,0.52
ETH-USD,3,1,0.665,0.52
ETH-USD,3,2,0.665,0.52
ETH-USD,5,0,0.665,0.52
ETH-USD,5,1,0.66,0.52
ETH-USD,5,2,0.66,0.52
ETH-USD,7,0,0.66,0.52
ETH-USD,7,1,0.665,0.52
ETH-USD,7,2,0.67,0.52
ETH-USD,9,0,0.63,0.52
ETH-USD,9,1,0.64,0.52
ETH-USD,9,2,0.65,0.52
ETH-USD,13,0,0.61,0.52
ETH-USD,13,1,0.62,0.52
ETH-USD,13,2,0.615,0.52
ETH-USD,17,0,0.585,0.52
ETH-USD,17,1,0.625,0.52
ETH-USD,17,2,0.625,0.52
ETH-USD,21,0,0.585,0.52
ETH-USD,21,1,0.6,0.52
ETH-USD,21,2,0.59,0.52
ETH-USD,31,0,0.55,0.52
ETH-USD,31,1,0.53,0.52
ETH-USD,31,2,0.545,0.52
ETH-USD,51,0,0.495,0.52
ETH-USD,51,1,0.485,0.52
ETH-USD,51,2,0.49,0.52
EURUSD=X,1,0,0.62,0.62
EURUSD=X,1,1,0.63,0.62
EURUSD=X,1,2,0.625,0.62
EURUSD=X,3,0,0.62,0.62
EURUSD=X,3,1,0.625,0.62
EURUSD=X,3,2,0.625,0.62
EURUSD=X,5,0,0.62,0.62
EURUSD=X,5,1,0.62,0.62
EURUSD=X,5,2,0.62,0.62
EURUSD=X,7,0,0.62,0.62
EURUSD=X,7,1,0.62,0.62
EURUSD=X,7,2,0.62,0.62
EURUSD=X,9,0,0.62,0.62
EURUSD=X,9,1,0.62,0.62
EURUSD=X,9,2,0.62,0.62
EURUSD=X,13,0,0.62,0.62
EURUSD=X,13,1,0.62,0.62
EURUSD=X,13,2,0.62,0.62
EURUSD=X,17,0,0.62,0.62
EURUSD=X,17,1,0.62,0.62
EURUSD=X,17,2,0.62,0.62
EURUSD=X,21,0,0.62,0.62
EURUSD=X,21,1,0.62,0.62
EURUSD=X,21,2,0.62,0.62
EURUSD=X,31,0,0.62,0.62
EURUSD=X,31,1,0.62,0.62
EURUSD=X,31,2,0.62,0.62
EURUSD=X,51,0,0.62,0.62
EURUSD=X,51,1,0.62,0.62
EURUSD=X,51,2,0.62,0.62
EURUSD=X,1,0,0.645,0.64
EURUSD=X,1,1,0.635,0.64
EURUSD=X,1,2,0.65,0.64
EURUSD=X,3,0,0.65,0.64
EURUSD=X,3,1,0.64,0.64
EURUSD=X,3,2,0.64,0.64
EURUSD=X,5,0,0.645,0.64
EURUSD=X,5,1,0.655,0.64
EURUSD=X,5,2,0.665,0.64
EURUSD=X,7,0,0.635,0.64
EURUSD=X,7,1,0.64,0.64
EURUSD=X,7,2,0.635,0.64
EURUSD=X,9,0,0.64,0.64
EURUSD=X,9,1,0.64,0.64
EURUSD=X,9,2,0.635,0.64
EURUSD=X,13,0,0.64,0.64
EURUSD=X,13,1,0.64,0.64
EURUSD=X,13,2,0.64,0.64
EURUSD=X,17,0,0.64,0.64
EURUSD=X,17,1,0.64,0.64
EURUSD=X,17,2,0.64,0.64
EURUSD=X,21,0,0.64,0.64
EURUSD=X,21,1,0.64,0.64
EURUSD=X,21,2,0.64,0.64
EURUSD=X,31,0,0.64,0.64
EURUSD=X,31,1,0.64,0.64
EURUSD=X,31,2,0.64,0.64
EURUSD=X,51,0,0.64,0.64
EURUSD=X,51,1,0.64,0.64
EURUSD=X,51,2,0.64,0.64
EURUSD=X,1,0,0.665,0.665
EURUSD=X,1,1,0.665,0.665
EURUSD=X,1,2,0.665,0.665
EURUSD=X,3,0,0.665,0.665
EURUSD=X,3,1,0.665,0.665
EURUSD=X,3,2,0.665,0.665
EURUSD=X,5,0,0.665,0.665
EURUSD=X,5,1,0.665,0.665
EURUSD=X,5,2,0.665,0.665
EURUSD=X,7,0,0.665,0.665
EURUSD=X,7,1,0.665,0.665
EURUSD=X,7,2,0.665,0.665
EURUSD=X,9,0,0.665,0.665
EURUSD=X,9,1,0.665,0.665
EURUSD=X,9,2,0.665,0.665
EURUSD=X,13,0,0.665,0.665
EURUSD=X,13,1,0.665,0.665
EURUSD=X,13,2,0.665,0.665
EURUSD=X,17,0,0.665,0.665
EURUSD=X,17,1,0.665,0.665
EURUSD=X,17,2,0.665,0.665
EURUSD=X,21,0,0.665,0.665
EURUSD=X,21,1,0.665,0.665
EURUSD=X,21,2,0.665,0.665
EURUSD=X,31,0,0.665,0.665
EURUSD=X,31,1,0.665,0.665
EURUSD=X,31,2,0.665,0.665
EURUSD=X,51,0,0.665,0.665
EURUSD=X,51,1,0.665,0.665
EURUSD=X,51,2,0.665,0.665
EURUSD=X,1,0,0.65,0.65
EURUSD=X,1,1,0.65,0.65
EURUSD=X,1,2,0.645,0.65
EURUSD=X,3,0,0.65,0.65
EURUSD=X,3,1,0.65,0.65
EURUSD=X,3,2,0.645,0.65
EURUSD=X,5,0,0.645,0.65
EURUSD=X,5,1,0.645,0.65
EURUSD=X,5,2,0.645,0.65
EURUSD=X,7,0,0.65,0.65
EURUSD=X,7,1,0.65,0.65
EURUSD=X,7,2,0.65,0.65
EURUSD=X,9,0,0.65,0.65
EURUSD=X,9,1,0.65,0.65
EURUSD=X,9,2,0.65,0.65
EURUSD=X,13,0,0.65,0.65
EURUSD=X,13,1,0.65,0.65
EURUSD=X,13,2,0.65,0.65
EURUSD=X,17,0,0.65,0.65
EURUSD=X,17,1,0.65,0.65
EURUSD=X,17,2,0.65,0.65
EURUSD=X,21,0,0.65,0.65
EURUSD=X,21,1,0.65,0.65
EURUSD=X,21,2,0.65,0.65
EURUSD=X,31,0,0.65,0.65
EURUSD=X,31,1,0.65,0.65
EURUSD=X,31,2,0.65,0.65
EURUSD=X,51,0,0.65,0.65
EURUSD=X,51,1,0.65,0.65
EURUSD=X,51,2,0.65,0.65
GBPUSD=X,1,0,0.595,0.595
GBPUSD=X,1,1,0.6,0.595
GBPUSD=X,1,2,0.595,0.595
GBPUSD=X,3,0,0.6,0.595
GBPUSD=X,3,1,0.6,0.595
GBPUSD=X,3,2,0.6,0.595
GBPUSD=X,5,0,0.59,0.595
GBPUSD=X,5,1,0.59,0.595
GBPUSD=X,5,2,0.59,0.595
GBPUSD=X,7,0,0.595,0.595
GBPUSD=X,7,1,0.595,0.595
GBPUSD=X,7,2,0.595,0.595
GBPUSD=X,9,0,0.595,0.595
GBPUSD=X,9,1,0.595,0.595
GBPUSD=X,9,2,0.595,0.595
GBPUSD=X,13,0,0.595,0.595
GBPUSD=X,13,1,0.595,0.595
GBPUSD=X,13,2,0.595,0.595
GBPUSD=X,17,0,0.595,0.595
GBPUSD=X,17,1,0.595,0.595
GBPUSD=X,17,2,0.595,0.595
GBPUSD=X,21,0,0.595,0.595
GBPUSD=X,21,1,0.595,0.595
GBPUSD=X,21,2,0.595,0.595
GBPUSD=X,31,0,0.595,0.595
GBPUSD=X,31,1,0.595,0.595
GBPUSD=X,31,2,0.595,0.595
GBPUSD=X,51,0,0.595,0.595
