window,filter,noise,seed,delta_snr_db
3,F1 MA,N1 Gauss,0,4.7146549594744895
3,F4 Median,N1 Gauss,0,3.5505411233775703
3,F7 Hybrid (med w),N1 Gauss,0,11.867085479856986
3,F1 MA,N1 Gauss,1,4.869921725790363
3,F4 Median,N1 Gauss,1,3.412563133343296
3,F7 Hybrid (med w),N1 Gauss,1,11.859494508160825
3,F1 MA,N1 Gauss,2,4.707143611113494
3,F4 Median,N1 Gauss,2,3.4714979737966303
3,F7 Hybrid (med w),N1 Gauss,2,12.146385774312655
3,F1 MA,N1 Gauss,3,4.767930896407538
3,F4 Median,N1 Gauss,3,3.3632735618720773
3,F7 Hybrid (med w),N1 Gauss,3,12.231416592687847
3,F1 MA,N1 Gauss,4,4.619833038681473
3,F4 Median,N1 Gauss,4,3.332235493385193
3,F7 Hybrid (med w),N1 Gauss,4,11.799089978326172
3,F1 MA,N1 Gauss,5,4.883835275557705
3,F4 Median,N1 Gauss,5,3.536859094594032
3,F7 Hybrid (med w),N1 Gauss,5,12.048295610708532
3,F1 MA,N1 Gauss,6,4.673434168283064
3,F4 Median,N1 Gauss,6,3.398269851564941
3,F7 Hybrid (med w),N1 Gauss,6,13.443538348675418
3,F1 MA,N1 Gauss,7,4.812128565432299
3,F4 Median,N1 Gauss,7,3.4032335948921935
3,F7 Hybrid (med w),N1 Gauss,7,11.871938913627805
3,F1 MA,N1 Gauss,8,4.861020177076261
3,F4 Median,N1 Gauss,8,3.506653873975244
3,F7 Hybrid (med w),N1 Gauss,8,11.412747297178798
3,F1 MA,N1 Gauss,9,4.847811887459704
3,F4 Median,N1 Gauss,9,3.5340968894259266
3,F7 Hybrid (med w),N1 Gauss,9,11.950611498352401
3,F1 MA,N3 α-stable,0,4.7001204299345005
3,F4 Median,N3 α-stable,0,9.269758910348841
3,F7 Hybrid (med w),N3 α-stable,0,18.558457117397857
3,F1 MA,N3 α-stable,1,4.748126380965976
3,F4 Median,N3 α-stable,1,6.4864657674652655
3,F7 Hybrid (med w),N3 α-stable,1,14.835330156545302
3,F1 MA,N3 α-stable,2,4.783711857609017
3,F4 Median,N3 α-stable,2,15.768441501788011
3,F7 Hybrid (med w),N3 α-stable,2,24.858323060125677
3,F1 MA,N3 α-stable,3,4.7693191508543755
3,F4 Median,N3 α-stable,3,9.722538679129762
3,F7 Hybrid (med w),N3 α-stable,3,18.214181388635634
3,F1 MA,N3 α-stable,4,4.694314920338478
3,F4 Median,N3 α-stable,4,8.777391793966224
3,F7 Hybrid (med w),N3 α-stable,4,17.964448570281952
3,F1 MA,N3 α-stable,5,4.85371515959671
3,F4 Median,N3 α-stable,5,7.094180971121318
3,F7 Hybrid (med w),N3 α-stable,5,16.11755067108938
3,F1 MA,N3 α-stable,6,4.775748304542937
3,F4 Median,N3 α-stable,6,8.907589182730236
3,F7 Hybrid (med w),N3 α-stable,6,17.9966075283747
3,F1 MA,N3 α-stable,7,4.732171157222105
3,F4 Median,N3 α-stable,7,7.7636375175238115
3,F7 Hybrid (med w),N3 α-stable,7,17.588003637320806
3,F1 MA,N3 α-stable,8,4.6502910409126805
3,F4 Median,N3 α-stable,8,11.624506516694995
3,F7 Hybrid (med w),N3 α-stable,8,21.10513945426936
3,F1 MA,N3 α-stable,9,4.708688254773001
3,F4 Median,N3 α-stable,9,11.02968438592536
3,F7 Hybrid (med w),N3 α-stable,9,20.036946711110822
3,F1 MA,N4 Mixed,0,2.7026516855578926
3,F4 Median,N4 Mixed,0,4.546586922191425
3,F7 Hybrid (med w),N4 Mixed,0,8.397690023372007
3,F1 MA,N4 Mixed,1,2.8157380793742703
3,F4 Median,N4 Mixed,1,3.4436466498746547
3,F7 Hybrid (med w),N4 Mixed,1,8.594505385903695
3,F1 MA,N4 Mixed,2,2.792276992305485
3,F4 Median,N4 Mixed,2,6.931137705755052
3,F7 Hybrid (med w),N4 Mixed,2,7.464844552591067
3,F1 MA,N4 Mixed,3,2.7598568796498313
3,F4 Median,N4 Mixed,3,5.4682470671668995
3,F7 Hybrid (med w),N4 Mixed,3,8.510231253128827
3,F1 MA,N4 Mixed,4,2.8616199444566846
3,F4 Median,N4 Mixed,4,6.333390320759854
3,F7 Hybrid (med w),N4 Mixed,4,9.114995653485845
3,F1 MA,N4 Mixed,5,2.7772995621067853
3,F4 Median,N4 Mixed,5,4.1666509012530994
3,F7 Hybrid (med w),N4 Mixed,5,9.294711028080457
3,F1 MA,N4 Mixed,6,2.738933689465192
3,F4 Median,N4 Mixed,6,4.750608832314558
3,F7 Hybrid (med w),N4 Mixed,6,8.371031809143759
3,F1 MA,N4 Mixed,7,2.709867895315824
3,F4 Median,N4 Mixed,7,4.69037676978725
3,F7 Hybrid (med w),N4 Mixed,7,8.497003964486566
3,F1 MA,N4 Mixed,8,2.554777848874089
3,F4 Median,N4 Mixed,8,5.611151419990154
3,F7 Hybrid (med w),N4 Mixed,8,7.159779346723738
3,F1 MA,N4 Mixed,9,2.868415742242771
3,F4 Median,N4 Mixed,9,4.547283792616428
3,F7 Hybrid (med w),N4 Mixed,9,9.381643761358168
5,F1 MA,N1 Gauss,0,6.896031816181224
5,F4 Median,N1 Gauss,0,5.359562470967058
5,F7 Hybrid (med w),N1 Gauss,0,11.05716853700811
5,F1 MA,N1 Gauss,1,7.0957316423378884
5,F4 Median,N1 Gauss,1,5.365428829861637
5,F7 Hybrid (med w),N1 Gauss,1,11.243209043082084
5,F1 MA,N1 Gauss,2,6.8997114288183194
5,F4 Median,N1 Gauss,2,5.433427168125449
5,F7 Hybrid (med w),N1 Gauss,2,11.340070639367644
5,F1 MA,N1 Gauss,3,6.992348754275972
5,F4 Median,N1 Gauss,3,5.214640867716069
5,F7 Hybrid (med w),N1 Gauss,3,11.702644888018424
5,F1 MA,N1 Gauss,4,6.832500404299693
5,F4 Median,N1 Gauss,4,5.378206061084406
5,F7 Hybrid (med w),N1 Gauss,4,11.271882164174333
5,F1 MA,N1 Gauss,5,7.089978202461552
5,F4 Median,N1 Gauss,5,5.410408152364711
5,F7 Hybrid (med w),N1 Gauss,5,11.35768118701287
5,F1 MA,N1 Gauss,6,6.818263940050313
5,F4 Median,N1 Gauss,6,5.328683707228148
5,F7 Hybrid (med w),N1 Gauss,6,11.518055552425706
5,F1 MA,N1 Gauss,7,6.904683904651213
5,F4 Median,N1 Gauss,7,5.267204352292208
5,F7 Hybrid (med w),N1 Gauss,7,11.362267055252973
5,F1 MA,N1 Gauss,8,6.995197760647496
5,F4 Median,N1 Gauss,8,5.392601683533266
5,F7 Hybrid (med w),N1 Gauss,8,11.097069473778369
5,F1 MA,N1 Gauss,9,7.312432343198591
5,F4 Median,N1 Gauss,9,5.7579315559944275
5,F7 Hybrid (med w),N1 Gauss,9,11.923991393184837
5,F1 MA,N3 α-stable,0,6.903267444755496
5,F4 Median,N3 α-stable,0,11.67333440136195
5,F7 Hybrid (med w),N3 α-stable,0,18.006147194061878
5,F1 MA,N3 α-stable,1,6.916191518781655
5,F4 Median,N3 α-stable,1,8.537897634085251
5,F7 Hybrid (med w),N3 α-stable,1,15.347366054710708
5,F1 MA,N3 α-stable,2,6.990325475236158
5,F4 Median,N3 α-stable,2,18.310719756999042
5,F7 Hybrid (med w),N3 α-stable,2,24.28805105540596
5,F1 MA,N3 α-stable,3,6.970131345765115
5,F4 Median,N3 α-stable,3,12.03635967460401
5,F7 Hybrid (med w),N3 α-stable,3,18.594808187915884
5,F1 MA,N3 α-stable,4,6.885665205946193
5,F4 Median,N3 α-stable,4,11.058761041453899
5,F7 Hybrid (med w),N3 α-stable,4,16.86234667800945
5,F1 MA,N3 α-stable,5,7.079443986701529
5,F4 Median,N3 α-stable,5,9.284058520482766
5,F7 Hybrid (med w),N3 α-stable,5,15.455635241437442
5,F1 MA,N3 α-stable,6,7.027181283835914
5,F4 Median,N3 α-stable,6,11.1299151311677
5,F7 Hybrid (med w),N3 α-stable,6,17.12965607348714
5,F1 MA,N3 α-stable,7,6.992028493167037
5,F4 Median,N3 α-stable,7,9.824478807940418
5,F7 Hybrid (med w),N3 α-stable,7,16.851606237173883
5,F1 MA,N3 α-stable,8,6.766786338363268
5,F4 Median,N3 α-stable,8,13.913177086461404
5,F7 Hybrid (med w),N3 α-stable,8,20.609878353169776
5,F1 MA,N3 α-stable,9,6.903424583322813
5,F4 Median,N3 α-stable,9,13.296240691521511
5,F7 Hybrid (med w),N3 α-stable,9,20.182960831471505
5,F1 MA,N4 Mixed,0,3.8884589505779665
5,F4 Median,N4 Mixed,0,5.988344217574236
5,F7 Hybrid (med w),N4 Mixed,0,8.669253034640885
5,F1 MA,N4 Mixed,1,4.067163304821845
5,F4 Median,N4 Mixed,1,4.740213578104857
5,F7 Hybrid (med w),N4 Mixed,1,8.440868032908849
5,F1 MA,N4 Mixed,2,3.990310721830273
5,F4 Median,N4 Mixed,2,8.596345885491893
5,F7 Hybrid (med w),N4 Mixed,2,9.01565599082642
5,F1 MA,N4 Mixed,3,3.9518051433508603
5,F4 Median,N4 Mixed,3,7.0121707665812885
5,F7 Hybrid (med w),N4 Mixed,3,9.332421007701017
5,F1 MA,N4 Mixed,4,4.09521779271746
5,F4 Median,N4 Mixed,4,7.654213219508044
5,F7 Hybrid (med w),N4 Mixed,4,9.53544546561774
5,F1 MA,N4 Mixed,5,3.9527060290413853
5,F4 Median,N4 Mixed,5,5.342035111254994
5,F7 Hybrid (med w),N4 Mixed,5,8.406577577084217
5,F1 MA,N4 Mixed,6,3.886451145636851
5,F4 Median,N4 Mixed,6,6.086520092919091
5,F7 Hybrid (med w),N4 Mixed,6,8.585322220446002
5,F1 MA,N4 Mixed,7,3.902396834614688
5,F4 Median,N4 Mixed,7,6.130915133052358
5,F7 Hybrid (med w),N4 Mixed,7,8.646808607533833
5,F1 MA,N4 Mixed,8,3.6128386636618437
5,F4 Median,N4 Mixed,8,6.898343456767265
5,F7 Hybrid (med w),N4 Mixed,8,8.129185035885843
5,F1 MA,N4 Mixed,9,4.1605207702243625
5,F4 Median,N4 Mixed,9,5.928887454760574
5,F7 Hybrid (med w),N4 Mixed,9,9.096059091098436
9,F1 MA,N1 Gauss,0,9.222565436453618
9,F4 Median,N1 Gauss,0,7.734999460582158
9,F7 Hybrid (med w),N1 Gauss,0,11.039463061766662
9,F1 MA,N1 Gauss,1,9.590998758681373
9,F4 Median,N1 Gauss,1,7.7320523158551815
9,F7 Hybrid (med w),N1 Gauss,1,11.047463394448021
9,F1 MA,N1 Gauss,2,9.332325951980572
9,F4 Median,N1 Gauss,2,7.753522392479679
9,F7 Hybrid (med w),N1 Gauss,2,11.347241956357474
9,F1 MA,N1 Gauss,3,9.43959664652255
9,F4 Median,N1 Gauss,3,7.47977215050938
9,F7 Hybrid (med w),N1 Gauss,3,11.279450930989743
9,F1 MA,N1 Gauss,4,9.292579680506515
9,F4 Median,N1 Gauss,4,7.756652138260192
9,F7 Hybrid (med w),N1 Gauss,4,10.822460750254091
9,F1 MA,N1 Gauss,5,9.481045065730171
9,F4 Median,N1 Gauss,5,7.693454459685581
9,F7 Hybrid (med w),N1 Gauss,5,11.140049085794317
9,F1 MA,N1 Gauss,6,9.278181558663114
9,F4 Median,N1 Gauss,6,7.9981679324962185
9,F7 Hybrid (med w),N1 Gauss,6,11.479189900692427
9,F1 MA,N1 Gauss,7,9.228854942095552
9,F4 Median,N1 Gauss,7,7.648407716416273
9,F7 Hybrid (med w),N1 Gauss,7,11.31080726475801
9,F1 MA,N1 Gauss,8,9.439864661976369
9,F4 Median,N1 Gauss,8,7.855694740252041
9,F7 Hybrid (med w),N1 Gauss,8,11.273103002942475
9,F1 MA,N1 Gauss,9,10.04714376981789
9,F4 Median,N1 Gauss,9,8.330837932265903
9,F7 Hybrid (med w),N1 Gauss,9,11.97951479985236
9,F1 MA,N3 α-stable,0,9.335843388169815
9,F4 Median,N3 α-stable,0,14.132279230772472
9,F7 Hybrid (med w),N3 α-stable,0,17.46743891137537
9,F1 MA,N3 α-stable,1,9.546369461151107
9,F4 Median,N3 α-stable,1,11.220447033653414
9,F7 Hybrid (med w),N3 α-stable,1,15.06816594865656
9,F1 MA,N3 α-stable,2,9.520846563706947
9,F4 Median,N3 α-stable,2,20.7674932287201
9,F7 Hybrid (med w),N3 α-stable,2,24.20617512641764
9,F1 MA,N3 α-stable,3,9.540851589810707
9,F4 Median,N3 α-stable,3,14.48155462006726
9,F7 Hybrid (med w),N3 α-stable,3,17.83941747306404
9,F1 MA,N3 α-stable,4,9.447101171706041
9,F4 Median,N3 α-stable,4,13.361427594789738
9,F7 Hybrid (med w),N3 α-stable,4,16.638331043892308
9,F1 MA,N3 α-stable,5,9.593282234653124
9,F4 Median,N3 α-stable,5,11.547873744550001
9,F7 Hybrid (med w),N3 α-stable,5,14.97629668250267
9,F1 MA,N3 α-stable,6,9.565977208100156
9,F4 Median,N3 α-stable,6,13.409645965285524
9,F7 Hybrid (med w),N3 α-stable,6,16.817023723130237
9,F1 MA,N3 α-stable,7,9.674824856449384
9,F4 Median,N3 α-stable,7,12.008182694503958
9,F7 Hybrid (med w),N3 α-stable,7,15.669716528543313
9,F1 MA,N3 α-stable,8,9.202862360908842
9,F4 Median,N3 α-stable,8,16.574583563784852
9,F7 Hybrid (med w),N3 α-stable,8,19.833914734651422
9,F1 MA,N3 α-stable,9,9.416307638496882
9,F4 Median,N3 α-stable,9,15.776785727442473
9,F7 Hybrid (med w),N3 α-stable,9,19.43696709313387
9,F1 MA,N4 Mixed,0,5.217031140451439
9,F4 Median,N4 Mixed,0,7.4123785017662005
9,F7 Hybrid (med w),N4 Mixed,0,8.786181476488277
9,F1 MA,N4 Mixed,1,5.5392105785530905
9,F4 Median,N4 Mixed,1,6.4196452207524715
9,F7 Hybrid (med w),N4 Mixed,1,8.273903465085427
9,F1 MA,N4 Mixed,2,5.339351314645718
9,F4 Median,N4 Mixed,2,10.158688658611034
9,F7 Hybrid (med w),N4 Mixed,2,10.438384390072557
9,F1 MA,N4 Mixed,3,5.357320220483427
9,F4 Median,N4 Mixed,3,8.743639410294321
9,F7 Hybrid (med w),N4 Mixed,3,10.046092331760443
9,F1 MA,N4 Mixed,4,5.507228846960668
9,F4 Median,N4 Mixed,4,9.438333665414252
9,F7 Hybrid (med w),N4 Mixed,4,10.778917630788062
9,F1 MA,N4 Mixed,5,5.253272122751808
9,F4 Median,N4 Mixed,5,6.704561958932027
9,F7 Hybrid (med w),N4 Mixed,5,8.43995539388268
9,F1 MA,N4 Mixed,6,5.114046607412472
9,F4 Median,N4 Mixed,6,7.380120794505602
9,F7 Hybrid (med w),N4 Mixed,6,8.937570170597029
9,F1 MA,N4 Mixed,7,5.190894107883739
9,F4 Median,N4 Mixed,7,7.5431550119449575
9,F7 Hybrid (med w),N4 Mixed,7,8.832567391183478
9,F1 MA,N4 Mixed,8,4.7989447651859685
9,F4 Median,N4 Mixed,8,8.178353578037473
9,F7 Hybrid (med w),N4 Mixed,8,8.824410283396823
9,F1 MA,N4 Mixed,9,5.636077785012493
9,F4 Median,N4 Mixed,9,7.390664138484503
9,F7 Hybrid (med w),N4 Mixed,9,8.922683601787238
15,F1 MA,N1 Gauss,0,10.897722563585889
15,F4 Median,N1 Gauss,0,9.744434373507069
15,F7 Hybrid (med w),N1 Gauss,0,11.778466648531746
15,F1 MA,N1 Gauss,1,11.510046678816938
15,F4 Median,N1 Gauss,1,9.732870243216265
15,F7 Hybrid (med w),N1 Gauss,1,11.607767900965124
15,F1 MA,N1 Gauss,2,11.349469260162854
15,F4 Median,N1 Gauss,2,10.030787146133465
15,F7 Hybrid (med w),N1 Gauss,2,12.150313870674958
15,F1 MA,N1 Gauss,3,11.098286756387948
15,F4 Median,N1 Gauss,3,9.719651514392861
15,F7 Hybrid (med w),N1 Gauss,3,12.307481643622769
15,F1 MA,N1 Gauss,4,11.25249148815252
15,F4 Median,N1 Gauss,4,9.953557789982627
15,F7 Hybrid (med w),N1 Gauss,4,11.984975171434936
15,F1 MA,N1 Gauss,5,11.283780506225375
15,F4 Median,N1 Gauss,5,9.805829007458337
15,F7 Hybrid (med w),N1 Gauss,5,12.121373739819814
15,F1 MA,N1 Gauss,6,11.038389970380507
15,F4 Median,N1 Gauss,6,10.101007755050398
15,F7 Hybrid (med w),N1 Gauss,6,12.260872018762841
15,F1 MA,N1 Gauss,7,10.900784534383707
15,F4 Median,N1 Gauss,7,9.625474805106286
15,F7 Hybrid (med w),N1 Gauss,7,11.985578249068052
15,F1 MA,N1 Gauss,8,11.359448247521685
15,F4 Median,N1 Gauss,8,10.036909774309063
15,F7 Hybrid (med w),N1 Gauss,8,12.40633637219961
15,F1 MA,N1 Gauss,9,12.110992920129501
15,F4 Median,N1 Gauss,9,10.446687001071107
15,F7 Hybrid (med w),N1 Gauss,9,12.497345860001342
15,F1 MA,N3 α-stable,0,11.353123456420107
15,F4 Median,N3 α-stable,0,16.422446287327062
15,F7 Hybrid (med w),N3 α-stable,0,18.80661708751016
15,F1 MA,N3 α-stable,1,11.819436159055147
15,F4 Median,N3 α-stable,1,13.533107266409361
15,F7 Hybrid (med w),N3 α-stable,1,15.915177641104332
15,F1 MA,N3 α-stable,2,11.706511208979585
15,F4 Median,N3 α-stable,2,22.844431979615234
15,F7 Hybrid (med w),N3 α-stable,2,25.315369451538587
15,F1 MA,N3 α-stable,3,11.769362141431253
15,F4 Median,N3 α-stable,3,16.50410655158185
15,F7 Hybrid (med w),N3 α-stable,3,18.591579815942236
15,F1 MA,N3 α-stable,4,11.615144835886525
15,F4 Median,N3 α-stable,4,15.536909487732801
15,F7 Hybrid (med w),N3 α-stable,4,17.491666070169195
15,F1 MA,N3 α-stable,5,11.721241124209048
15,F4 Median,N3 α-stable,5,13.743823037973362
15,F7 Hybrid (med w),N3 α-stable,5,15.813576319734555
15,F1 MA,N3 α-stable,6,11.71458677679798
15,F4 Median,N3 α-stable,6,15.535011102059261
15,F7 Hybrid (med w),N3 α-stable,6,17.777396997822628
15,F1 MA,N3 α-stable,7,11.810579463193418
15,F4 Median,N3 α-stable,7,13.9861851635197
15,F7 Hybrid (med w),N3 α-stable,7,16.117537921834206
15,F1 MA,N3 α-stable,8,11.326937182243626
15,F4 Median,N3 α-stable,8,18.734312571933835
15,F7 Hybrid (med w),N3 α-stable,8,20.77525271906172
15,F1 MA,N3 α-stable,9,11.687323513548808
15,F4 Median,N3 α-stable,9,17.96946733417752
15,F7 Hybrid (med w),N3 α-stable,9,20.151785804142534
15,F1 MA,N4 Mixed,0,6.354571830046325
15,F4 Median,N4 Mixed,0,8.551314535176896
15,F7 Hybrid (med w),N4 Mixed,0,9.408286232386958
15,F1 MA,N4 Mixed,1,6.696521832026205
15,F4 Median,N4 Mixed,1,7.540479356236284
15,F7 Hybrid (med w),N4 Mixed,1,8.667474905335501
15,F1 MA,N4 Mixed,2,6.5004704161457845
15,F4 Median,N4 Mixed,2,11.55098140379917
15,F7 Hybrid (med w),N4 Mixed,2,11.73721543769733
15,F1 MA,N4 Mixed,3,6.5803197970222485
15,F4 Median,N4 Mixed,3,10.076405700897833
15,F7 Hybrid (med w),N4 Mixed,3,10.761150495239477
15,F1 MA,N4 Mixed,4,6.7548944522340975
15,F4 Median,N4 Mixed,4,10.759209852016157
15,F7 Hybrid (med w),N4 Mixed,4,11.486650900724289
15,F1 MA,N4 Mixed,5,6.4684231322456895
15,F4 Median,N4 Mixed,5,8.159947292770026
15,F7 Hybrid (med w),N4 Mixed,5,9.076461346879707
15,F1 MA,N4 Mixed,6,6.1513655310023925
15,F4 Median,N4 Mixed,6,8.57744905753686
15,F7 Hybrid (med w),N4 Mixed,6,9.491706734714128
15,F1 MA,N4 Mixed,7,6.231420034727456
15,F4 Median,N4 Mixed,7,8.425255872495008
15,F7 Hybrid (med w),N4 Mixed,7,9.083069142818086
15,F1 MA,N4 Mixed,8,5.799926566229232
15,F4 Median,N4 Mixed,8,9.429320064987888
15,F7 Hybrid (med w),N4 Mixed,8,9.821945633605567
15,F1 MA,N4 Mixed,9,6.967025299720886
15,F4 Median,N4 Mixed,9,8.751313757311332
15,F7 Hybrid (med w),N4 Mixed,9,9.588351765119045
21,F1 MA,N1 Gauss,0,11.592403817555402
21,F4 Median,N1 Gauss,0,11.313277513435084
21,F7 Hybrid (med w),N1 Gauss,0,12.788062138273002
